primaryIdentifier,symbol,name,description,chr,start,end,n_go,go_terms
Zm00032ab329530,,,NF-kappa-B-activating protein,chr7,130362452,130364259,3,GO:0003682 | chromatin binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0010468 | regulation of gene expression | biological_process
Zm00022ab321540,,,Coatomer subunit zeta,chr7,130362781,130367904,7,"GO:0000139 | Golgi membrane | cellular_component; GO:0006890 | retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum | biological_process; GO:0006891 | intra-Golgi vesicle-mediated transport | biological_process; GO:0015031 | protein transport | biological_process; GO:0030126 | COPI vesicle coat | cellular_component; GO:0034613 |  | ; GO:0046907 | intracellular transport | biological_process"
Zm00032ab329540,,,Tuliposide A-converting enzyme b1,chr7,130365395,130366848,2,GO:0016787 | hydrolase activity | molecular_function; GO:0033987 | 2-hydroxyisoflavanone dehydratase activity | molecular_function
100273561,LOC100273561,LOC100273561,uncharacterized LOC100273561,chr7,130368063,130370621,3,GO:0008168 | methyltransferase activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0032259 | methylation | biological_process
Zm00001eb314720,,,Phosphatidylinositol 4-phosphate 5-kinase 1,chr7,130368390,130370534,11,"GO:0005829 | cytosol | cellular_component; GO:0008168 | methyltransferase activity | molecular_function; GO:0009658 | chloroplast organization | biological_process; GO:0009707 | chloroplast outer membrane | cellular_component; GO:0016021 | integral component of membrane | cellular_component; GO:0016301 | kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process; GO:0032259 | methylation | biological_process; GO:0035452 | extrinsic component of plastid membrane | cellular_component; GO:0043572 | plastid fission | biological_process; GO:0048578 | positive regulation of long-day photoperiodism, flowering | biological_process"
Zm00025ab328260,,,Serine/threonine-protein kinase D6PKL2,chr7,130374667,130378751,9,GO:0004672 | protein kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006468 | protein phosphorylation | biological_process; GO:0009638 | phototropism | biological_process; GO:0043232 | intracellular non-membrane-bounded organelle | cellular_component; GO:0070013 | intracellular organelle lumen | cellular_component
Zm00001eb314740,,,ATP-dependent DNA helicase,chr7,130379949,130386666,7,GO:0000723 | telomere maintenance | biological_process; GO:0003678 | DNA helicase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0006281 | DNA repair | biological_process; GO:0006310 | DNA recombination | biological_process; GO:0032508 | DNA duplex unwinding | biological_process; GO:0140603 |  | 
Zm00025ab328270,,,Putative E3 ubiquitin-protein ligase XERICO,chr7,130382518,130383580,11,GO:0005768 | endosome | cellular_component; GO:0005802 | trans-Golgi network | cellular_component; GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0006623 | protein targeting to vacuole | biological_process; GO:0006896 | Golgi to vacuole transport | biological_process; GO:0008270 | zinc ion binding | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0016567 | protein ubiquitination | biological_process; GO:0016874 | ligase activity | molecular_function; GO:0017119 | Golgi transport complex | cellular_component; GO:0061630 | ubiquitin protein ligase activity | molecular_function
Zm00028ab324430,,,,chr7,130388751,130398782,3,GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0005819 | spindle | cellular_component
Zm00023ab325160,,,MADS box interactor-like,chr7,130389766,130392699,1,GO:0016021 | integral component of membrane | cellular_component
Zm00020ab320500,,,BHLH domain-containing protein,chr7,130390171,130395983,6,GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0016209 | antioxidant activity | molecular_function; GO:0046983 | protein dimerization activity | molecular_function; GO:0098869 | cellular oxidant detoxification | biological_process
Zm00023ab325170,,,Glucose-6-phosphate isomerase,chr7,130393326,130398411,6,GO:0004347 | glucose-6-phosphate isomerase activity | molecular_function; GO:0005829 | cytosol | cellular_component; GO:0006094 | gluconeogenesis | biological_process; GO:0006096 | glycolytic process | biological_process; GO:0048029 | monosaccharide binding | molecular_function; GO:0051156 | glucose 6-phosphate metabolic process | biological_process
Zm00020ab320510,,,Heat shock protein 90-5,chr7,130395793,130400737,16,GO:0005524 | ATP binding | molecular_function; GO:0005739 | mitochondrion | cellular_component; GO:0005774 | vacuolar membrane | cellular_component; GO:0005783 | endoplasmic reticulum | cellular_component; GO:0006457 | protein folding | biological_process; GO:0009408 | response to heat | biological_process; GO:0009414 | response to water deprivation | biological_process; GO:0009570 | chloroplast stroma | cellular_component; GO:0009651 | response to salt stress | biological_process; GO:0009704 | de-etiolation | biological_process; GO:0009941 | chloroplast envelope | cellular_component; GO:0010157 | response to chlorate | biological_process; GO:0042803 | protein homodimerization activity | molecular_function; GO:0045037 | protein import into chloroplast stroma | biological_process; GO:0048471 | perinuclear region of cytoplasm | cellular_component; GO:0051082 | unfolded protein binding | molecular_function
Zm00036ab325220,,,Proline-rich extensin-like protein EPR1,chr7,130399366,130401234,1,GO:0005783 | endoplasmic reticulum | cellular_component
Zm00041ab328620,,,Glutathione transferase GST 23,chr7,130403917,130404983,4,GO:0004364 | glutathione transferase activity | molecular_function; GO:0005737 | cytoplasm | cellular_component; GO:0006749 | glutathione metabolic process | biological_process; GO:0006952 | defense response | biological_process
Zm00036ab325230,,,transcription factor AIG1,chr7,130406036,130407192,4,GO:0003677 | DNA binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0046983 | protein dimerization activity | molecular_function
Zm00042ab329980,,,ABSCISIC ACID-INSENSITIVE 5-like protein 5,chr7,130407102,130410941,7,GO:0000976 | transcription cis-regulatory region binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005515 | protein binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0009738 | abscisic acid-activated signaling pathway | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0045893 | positive regulation of DNA-templated transcription | biological_process
Zm00036ab325240,,,Carbonic anhydrase,chr7,130407105,130411884,3,GO:0004089 | carbonate dehydratase activity | molecular_function; GO:0008270 | zinc ion binding | molecular_function; GO:0015976 | carbon utilization | biological_process
Zm00036ab325250,,,DNA-damage-repair/toleration protein DRT111,chr7,130412515,130416272,4,"GO:0003723 | RNA binding | molecular_function; GO:0009507 | chloroplast | cellular_component; GO:0043484 | regulation of RNA splicing | biological_process; GO:0045292 | mRNA cis splicing, via spliceosome | biological_process"
Zm00035ab327830,,,Polyketide synthase,chr7,130416636,130432911,3,GO:0006979 | response to oxidative stress | biological_process; GO:0008270 | zinc ion binding | molecular_function; GO:0016491 | oxidoreductase activity | molecular_function
Zm00029ab330740,,,Cyclin N-terminal domain-containing protein,chr7,130419661,130422774,10,GO:0000079 | regulation of cyclin-dependent protein serine/threonine kinase activity | biological_process; GO:0000307 | cyclin-dependent protein kinase holoenzyme complex | cellular_component; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0007049 | cell cycle | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016301 | kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process; GO:0016538 | cyclin-dependent protein serine/threonine kinase regulator activity | molecular_function; GO:0051301 | cell division | biological_process
Zm00027ab320940,,,Nuclear ribonuclease Z,chr7,130420339,130421302,2,"GO:0034414 | tRNA 3'-trailer cleavage, endonucleolytic | biological_process; GO:0042781 | 3'-tRNA processing endoribonuclease activity | molecular_function"
Zm00038ab323480,,,Putative pentatricopeptide (PPR) repeat-containing protein,chr7,130421232,130426406,2,GO:0008270 | zinc ion binding | molecular_function; GO:0016787 | hydrolase activity | molecular_function
Zm00031ab328160,LOC100381485,,Polyketide synthase,chr7,130425299,130444163,5,GO:0005739 | mitochondrion | cellular_component; GO:0006979 | response to oxidative stress | biological_process; GO:0008270 | zinc ion binding | molecular_function; GO:0016491 | oxidoreductase activity | molecular_function; GO:0042579 | microbody | cellular_component
Zm00038ab323500,,,Transcription factor bHLH49,chr7,130428516,130431564,6,GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0016209 | antioxidant activity | molecular_function; GO:0046983 | protein dimerization activity | molecular_function; GO:0098869 | cellular oxidant detoxification | biological_process
Zm00021ab321150,,,Phytocyanin domain-containing protein,chr7,130429709,130430615,2,GO:0009055 | electron transfer activity | molecular_function; GO:0022900 | electron transport chain | biological_process
Zm00027ab320960,,,Heavy metal-associated isoprenylated plant protein 41,chr7,130431098,130436297,7,GO:0000976 | transcription cis-regulatory region binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0045893 | positive regulation of DNA-templated transcription | biological_process; GO:0070042 | rRNA (uridine-N3-)-methyltransferase activity | molecular_function; GO:0070475 | rRNA base methylation | biological_process
Zm00038ab323510,,,Heat shock protein 90-5,chr7,130432395,130437385,7,GO:0005524 | ATP binding | molecular_function; GO:0005783 | endoplasmic reticulum | cellular_component; GO:0006457 | protein folding | biological_process; GO:0009570 | chloroplast stroma | cellular_component; GO:0016887 | ATP hydrolysis activity | molecular_function; GO:0048471 | perinuclear region of cytoplasm | cellular_component; GO:0051082 | unfolded protein binding | molecular_function
Zm00019ab303350,,,Polyketide synthase,chr7,130432543,130452884,5,GO:0005739 | mitochondrion | cellular_component; GO:0006979 | response to oxidative stress | biological_process; GO:0008270 | zinc ion binding | molecular_function; GO:0016491 | oxidoreductase activity | molecular_function; GO:0042579 | microbody | cellular_component
Zm00021ab321160,,,Blue copper,chr7,130436092,130437060,4,GO:0009055 | electron transfer activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0022900 | electron transport chain | biological_process; GO:0046658 | anchored component of plasma membrane | cellular_component
Zm00026ab319400,,,Glutathione transferase GST 23,chr7,130437208,130438553,4,GO:0004364 | glutathione transferase activity | molecular_function; GO:0005737 | cytoplasm | cellular_component; GO:0006749 | glutathione metabolic process | biological_process; GO:0006952 | defense response | biological_process
Zm00026ab319410,,,Probable purine permease,chr7,130437728,130450972,5,GO:0005345 | purine nucleobase transmembrane transporter activity | molecular_function; GO:0015211 | purine nucleoside transmembrane transporter activity | molecular_function; GO:0015860 | purine nucleoside transmembrane transport | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:1904823 | purine nucleobase transmembrane transport | biological_process
Zm00018ab331130,LOC100278917,,Signal transducer,chr7,130439646,130447159,6,GO:0003714 | transcription corepressor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005829 | cytosol | cellular_component; GO:0006351 | DNA-templated transcription | biological_process; GO:0015074 | DNA integration | biological_process; GO:0045892 | negative regulation of DNA-templated transcription | biological_process
Zm00032ab329550,,,,chr7,130444499,130449441,1,GO:0016021 | integral component of membrane | cellular_component
Zm00034ab337490,,,Peroxidase,chr7,130445729,130446327,6,GO:0004601 | peroxidase activity | molecular_function; GO:0006979 | response to oxidative stress | biological_process; GO:0009505 | plant-type cell wall | cellular_component; GO:0020037 | heme binding | molecular_function; GO:0046872 | metal ion binding | molecular_function; GO:0098869 | cellular oxidant detoxification | biological_process
Zm00018ab331140,,,Peroxidase,chr7,130447869,130453390,14,GO:0004601 | peroxidase activity | molecular_function; GO:0005576 | extracellular region | cellular_component; GO:0005773 | vacuole | cellular_component; GO:0005829 | cytosol | cellular_component; GO:0006979 | response to oxidative stress | biological_process; GO:0009505 | plant-type cell wall | cellular_component; GO:0009519 | middle lamella | cellular_component; GO:0009809 | lignin biosynthetic process | biological_process; GO:0010228 | vegetative to reproductive phase transition of meristem | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0020037 | heme binding | molecular_function; GO:0042744 | hydrogen peroxide catabolic process | biological_process; GO:0046872 | metal ion binding | molecular_function; GO:0098869 | cellular oxidant detoxification | biological_process
Zm00023ab325180,,,Protein kinase domain-containing protein,chr7,130448065,130462908,3,GO:0004672 | protein kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0006468 | protein phosphorylation | biological_process
Zm00034ab337500,,,L-arabinokinase,chr7,130449307,130450060,2,GO:0016301 | kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process
Zm00034ab337510,,,Isoamylase-type starch debranching enzyme3,chr7,130450516,130462308,10,"GO:0003844 | 1,4-alpha-glucan branching enzyme activity | molecular_function; GO:0005977 | glycogen metabolic process | biological_process; GO:0005983 | starch catabolic process | biological_process; GO:0009501 | amyloplast | cellular_component; GO:0009569 | chloroplast starch grain | cellular_component; GO:0009660 | amyloplast organization | biological_process; GO:0010021 | amylopectin biosynthetic process | biological_process; GO:0019156 | isoamylase activity | molecular_function; GO:0019252 | starch biosynthetic process | biological_process; GO:0043169 | cation binding | molecular_function"
Zm00041ab328630,,,Probable purine permease,chr7,130451536,130456463,5,GO:0005345 | purine nucleobase transmembrane transporter activity | molecular_function; GO:0015211 | purine nucleoside transmembrane transporter activity | molecular_function; GO:0015860 | purine nucleoside transmembrane transport | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:1904823 | purine nucleobase transmembrane transport | biological_process
Zm00026ab319420,,,Auxin-responsive protein SAUR71,chr7,130452934,130453230,1,GO:0009733 | response to auxin | biological_process
Zm00041ab328640,,,Probable purine permease,chr7,130457242,130458674,5,GO:0005345 | purine nucleobase transmembrane transporter activity | molecular_function; GO:0015211 | purine nucleoside transmembrane transporter activity | molecular_function; GO:0015860 | purine nucleoside transmembrane transport | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:1904823 | purine nucleobase transmembrane transport | biological_process
Zm00041ab328650,,,Auxin-responsive protein SAUR71,chr7,130458978,130460890,1,GO:0009733 | response to auxin | biological_process
Zm00042ab330000,,,Heat stress transcription factor B-2b,chr7,130461332,130464969,11,GO:0001067 | transcription regulatory region nucleic acid binding | molecular_function; GO:0003690 | double-stranded DNA binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0008168 | methyltransferase activity | molecular_function; GO:0009408 | response to heat | biological_process; GO:0043565 | sequence-specific DNA binding | molecular_function; GO:1903507 | negative regulation of nucleic acid-templated transcription | biological_process; GO:2000113 | negative regulation of cellular macromolecule biosynthetic process | biological_process
Zm00037ab319840,,,Peroxidase,chr7,130462217,130462861,6,GO:0004601 | peroxidase activity | molecular_function; GO:0006979 | response to oxidative stress | biological_process; GO:0009505 | plant-type cell wall | cellular_component; GO:0020037 | heme binding | molecular_function; GO:0046872 | metal ion binding | molecular_function; GO:0098869 | cellular oxidant detoxification | biological_process
Zm00025ab328280,,,Putative receptor protein kinase,chr7,130462583,130466832,5,GO:0004672 | protein kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0006468 | protein phosphorylation | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00023ab325200,,,Cyclin N-terminal domain-containing protein,chr7,130466600,130469634,15,GO:0000079 | regulation of cyclin-dependent protein serine/threonine kinase activity | biological_process; GO:0000307 | cyclin-dependent protein kinase holoenzyme complex | cellular_component; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0007049 | cell cycle | biological_process; GO:0009793 | embryo development ending in seed dormancy | biological_process; GO:0009845 | seed germination | biological_process; GO:0010029 | regulation of seed germination | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016301 | kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process; GO:0016538 | cyclin-dependent protein serine/threonine kinase regulator activity | molecular_function; GO:0051301 | cell division | biological_process; GO:0051726 | regulation of cell cycle | biological_process; GO:0098755 | maintenance of seed dormancy by absisic acid | biological_process
Zm00037ab319860,,,Isoamylase-type starch debranching enzyme3,chr7,130467038,130478856,9,"GO:0003844 | 1,4-alpha-glucan branching enzyme activity | molecular_function; GO:0005977 | glycogen metabolic process | biological_process; GO:0005983 | starch catabolic process | biological_process; GO:0009501 | amyloplast | cellular_component; GO:0009569 | chloroplast starch grain | cellular_component; GO:0009660 | amyloplast organization | biological_process; GO:0019156 | isoamylase activity | molecular_function; GO:0019252 | starch biosynthetic process | biological_process; GO:0043169 | cation binding | molecular_function"
Zm00022ab321560,,,Clathrin assembly protein,chr7,130467849,130469542,9,GO:0000149 | SNARE binding | molecular_function; GO:0005543 | phospholipid binding | molecular_function; GO:0005794 | Golgi apparatus | cellular_component; GO:0005905 | clathrin-coated pit | cellular_component; GO:0006897 | endocytosis | biological_process; GO:0006900 | vesicle budding from membrane | biological_process; GO:0030136 | clathrin-coated vesicle | cellular_component; GO:0032050 | clathrin heavy chain binding | molecular_function; GO:0043168 | anion binding | molecular_function
Zm00027ab320980,,,Subtilisin-like protease,chr7,130469060,130477790,11,GO:0003872 | 6-phosphofructokinase activity | molecular_function; GO:0003924 | GTPase activity | molecular_function; GO:0004252 | serine-type endopeptidase activity | molecular_function; GO:0005525 | GTP binding | molecular_function; GO:0005615 | extracellular space | cellular_component; GO:0006002 | fructose 6-phosphate metabolic process | biological_process; GO:0006508 | proteolysis | biological_process; GO:0009733 | response to auxin | biological_process; GO:0010102 | lateral root morphogenesis | biological_process; GO:0046872 | metal ion binding | molecular_function; GO:0061615 | glycolytic process through fructose-6-phosphate | biological_process
Zm00028ab324450,,,Cellulose synthase-like protein E6,chr7,130469556,130481683,10,GO:0000139 | Golgi membrane | cellular_component; GO:0005802 | trans-Golgi network | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0009833 | plant-type primary cell wall biogenesis | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016760 | cellulose synthase (UDP-forming) activity | molecular_function; GO:0030244 | cellulose biosynthetic process | biological_process; GO:0051753 | mannan synthase activity | molecular_function; GO:0071555 | cell wall organization | biological_process; GO:0097502 | mannosylation | biological_process
Zm00030ab316860,,,,chr7,130473074,130478413,1,GO:0016021 | integral component of membrane | cellular_component
Zm00041ab328660,,,Coatomer subunit zeta,chr7,130473268,130486226,7,"GO:0000139 | Golgi membrane | cellular_component; GO:0006890 | retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum | biological_process; GO:0006891 | intra-Golgi vesicle-mediated transport | biological_process; GO:0015031 | protein transport | biological_process; GO:0030126 | COPI vesicle coat | cellular_component; GO:0034613 |  | ; GO:0046907 | intracellular transport | biological_process"
Zm00024ab321760,,,Fucosyltransferase,chr7,130473440,130475159,10,GO:0008107 | galactoside 2-alpha-L-fucosyltransferase activity | molecular_function; GO:0009250 | glucan biosynthetic process | biological_process; GO:0010411 | xyloglucan metabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0032580 | Golgi cisterna membrane | cellular_component; GO:0036065 | fucosylation | biological_process; GO:0042546 | cell wall biogenesis | biological_process; GO:0042803 | protein homodimerization activity | molecular_function; GO:0070589 | cellular component macromolecule biosynthetic process | biological_process; GO:0071555 | cell wall organization | biological_process
Zm00022ab321580,,,E3 ubiquitin-protein ligase ATL6,chr7,130473575,130475140,11,GO:0005768 | endosome | cellular_component; GO:0005802 | trans-Golgi network | cellular_component; GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0006623 | protein targeting to vacuole | biological_process; GO:0006896 | Golgi to vacuole transport | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016567 | protein ubiquitination | biological_process; GO:0016746 | acyltransferase activity | molecular_function; GO:0016874 | ligase activity | molecular_function; GO:0017119 | Golgi transport complex | cellular_component; GO:0061630 | ubiquitin protein ligase activity | molecular_function
Zm00028ab324460,,,RNA 3'-terminal phosphate cyclase,chr7,130484501,130488272,7,"GO:0003963 | RNA-3'-phosphate cyclase activity | molecular_function; GO:0004521 | endoribonuclease activity | molecular_function; GO:0005730 | nucleolus | cellular_component; GO:0006396 | RNA processing | biological_process; GO:0016072 | rRNA metabolic process | biological_process; GO:0042254 | ribosome biogenesis | biological_process; GO:0090502 | RNA phosphodiester bond hydrolysis, endonucleolytic | biological_process"
Zm00035ab327840,,,Polyketide synthase,chr7,130489991,130510248,3,GO:0006979 | response to oxidative stress | biological_process; GO:0008270 | zinc ion binding | molecular_function; GO:0016491 | oxidoreductase activity | molecular_function
Zm00039ab322450,,,Homeobox-leucine zipper protein ATHB-6,chr7,130494372,130496463,6,"GO:0000981 | DNA-binding transcription factor activity, RNA polymerase II-specific | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006357 | regulation of transcription by RNA polymerase II | biological_process; GO:0008483 | transaminase activity | molecular_function; GO:0043565 | sequence-specific DNA binding | molecular_function; GO:0045893 | positive regulation of DNA-templated transcription | biological_process"
Zm00024ab321770,,,Calmodulin-like protein 1,chr7,130505642,130506526,2,GO:0005509 | calcium ion binding | molecular_function; GO:0005739 | mitochondrion | cellular_component
Zm00027ab321010,,,,chr7,130509295,130509501,1,GO:0016021 | integral component of membrane | cellular_component
Zm00027ab321020,,,Pentatricopeptide repeat-containing protein,chr7,130512412,130515521,2,GO:0008270 | zinc ion binding | molecular_function; GO:0016787 | hydrolase activity | molecular_function
Zm00022ab321590,,,Transcription factor bHLH96,chr7,130513237,130515607,5,"GO:0000978 | RNA polymerase II cis-regulatory region sequence-specific DNA binding | molecular_function; GO:0000981 | DNA-binding transcription factor activity, RNA polymerase II-specific | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006357 | regulation of transcription by RNA polymerase II | biological_process; GO:0046983 | protein dimerization activity | molecular_function"
Zm00035ab327870,,,Putative diphthamide biosynthesis protein 4,chr7,130516237,130521034,8,GO:0002098 | tRNA wobble uridine modification | biological_process; GO:0005634 | nucleus | cellular_component; GO:0005783 | endoplasmic reticulum | cellular_component; GO:0005829 | cytosol | cellular_component; GO:0017182 | peptidyl-diphthamide metabolic process | biological_process; GO:0044249 | cellular biosynthetic process | biological_process; GO:0046872 | metal ion binding | molecular_function; GO:1900247 | regulation of cytoplasmic translational elongation | biological_process
Zm00026ab319430,,,Coatomer subunit zeta,chr7,130517298,130522526,9,"GO:0000139 | Golgi membrane | cellular_component; GO:0005829 | cytosol | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006890 | retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum | biological_process; GO:0006891 | intra-Golgi vesicle-mediated transport | biological_process; GO:0015031 | protein transport | biological_process; GO:0030126 | COPI vesicle coat | cellular_component; GO:0034613 |  | ; GO:0046907 | intracellular transport | biological_process"
Zm00025ab328290,,,Heavy metal-associated isoprenylated plant protein 41,chr7,130522291,130525466,3,GO:0005737 | cytoplasm | cellular_component; GO:0070042 | rRNA (uridine-N3-)-methyltransferase activity | molecular_function; GO:0070475 | rRNA base methylation | biological_process
Zm00036ab325280,,,DNA-binding protein-like,chr7,130530735,130532742,5,GO:0003680 | minor groove of adenine-thymine-rich DNA binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00036ab325290,,,Ubiquitin carboxyl-terminal hydrolase 17,chr7,130533728,130555665,8,GO:0004197 | cysteine-type endopeptidase activity | molecular_function; GO:0004843 | cysteine-type deubiquitinase activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005829 | cytosol | cellular_component; GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016579 | protein deubiquitination | biological_process; GO:0046872 | metal ion binding | molecular_function
Zm00038ab323520,,,1-phosphatidylinositol 4-kinase,chr7,130534795,130540960,3,GO:0004430 | 1-phosphatidylinositol 4-kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process; GO:0046854 | phosphatidylinositol phosphate biosynthetic process | biological_process
Zm00027ab321050,,,,chr7,130535725,130536111,2,"GO:0016021 | integral component of membrane | cellular_component; GO:0016747 | acyltransferase activity, transferring groups other than amino-acyl groups | molecular_function"
Zm00035ab327890,,,Tuliposide A-converting enzyme b1,chr7,130537443,130539327,1,GO:0016787 | hydrolase activity | molecular_function
Zm00033ab334870,,,Lysine-specific demethylase SE14,chr7,130543344,130547139,5,GO:0003735 | structural constituent of ribosome | molecular_function; GO:0005840 | ribosome | cellular_component; GO:0006412 | translation | biological_process; GO:0008168 | methyltransferase activity | molecular_function; GO:0032259 | methylation | biological_process
Zm00001eb314770,,,Mitochondrial phosphate carrier protein 3,chr7,130545979,130550583,9,GO:0003729 | mRNA binding | molecular_function; GO:0005315 | inorganic phosphate transmembrane transporter activity | molecular_function; GO:0009651 | response to salt stress | biological_process; GO:0015711 | organic anion transport | biological_process; GO:0015748 | organophosphate ester transport | biological_process; GO:0031305 | integral component of mitochondrial inner membrane | cellular_component; GO:0035435 | phosphate ion transmembrane transport | biological_process; GO:0071705 | nitrogen compound transport | biological_process; GO:1990547 | mitochondrial phosphate ion transmembrane transport | biological_process
Zm00022ab321600,,,RING-type E3 ubiquitin transferase,chr7,130551269,130552869,5,GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016567 | protein ubiquitination | biological_process; GO:0016746 | acyltransferase activity | molecular_function; GO:0061630 | ubiquitin protein ligase activity | molecular_function
Zm00033ab334880,,,Zinc-finger homeodomain protein 1,chr7,130551743,130553349,5,GO:0000976 | transcription cis-regulatory region binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0046872 | metal ion binding | molecular_function
Zm00032ab329560,,,ABSCISIC ACID-INSENSITIVE 5-like protein 5,chr7,130562315,130578004,6,GO:0000976 | transcription cis-regulatory region binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005515 | protein binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0009738 | abscisic acid-activated signaling pathway | biological_process; GO:0045893 | positive regulation of DNA-templated transcription | biological_process
103632842,LOC103632842,LOC103632842,,chr7,130562378,130565727,5,GO:0004674 | protein serine/threonine kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0006468 | protein phosphorylation | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0030246 | carbohydrate binding | molecular_function
Zm00001eb314780,,,Receptor-like serine/threonine-protein kinase,chr7,130562518,130565731,12,GO:0004674 | protein serine/threonine kinase activity | molecular_function; GO:0004713 | protein tyrosine kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0006032 | chitin catabolic process | biological_process; GO:0006468 | protein phosphorylation | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0018212 | peptidyl-tyrosine modification | biological_process; GO:0030246 | carbohydrate binding | molecular_function; GO:0048544 | recognition of pollen | biological_process; GO:0106310 | protein serine kinase activity | molecular_function; GO:0106311 |  | 
Zm00019ab303370,,,Terminal organelle assembly protein,chr7,130575734,130577834,7,GO:0002098 | tRNA wobble uridine modification | biological_process; GO:0005634 | nucleus | cellular_component; GO:0005829 | cytosol | cellular_component; GO:0017182 | peptidyl-diphthamide metabolic process | biological_process; GO:0044249 | cellular biosynthetic process | biological_process; GO:0046872 | metal ion binding | molecular_function; GO:1900247 | regulation of cytoplasmic translational elongation | biological_process
